"SiteID","RoomID","ApplianceID","Make","Model","Vintage","Energy_Star","Dehumidifier_Direct_Plumbed","Dehumidifier_Capacity_Pints","Dehumidifier_Capacity_Is_Estimated","Dehumidifier_Watts","Dehumidifier_Watts_Is_Estimated","Dehumidifier_Amps","Dehumidifier_Amps_Is_Estimated","Room_Type"
"SITE_1100","ROOM_3494","APPL_7512","General Electric","AHG20LAS1","2000","No","No","19","Measured or Known","Unknown",NA,"5.3","Measured or Known","Living Room"
"SITE_1101","ROOM_29173","APPL_130532","Frigidaire","FFAD3533W1","Unknown","Yes","No","35.23","Measured or Known","Unknown",NA,"5.3","Measured or Known","Hallway"
"SITE_1302","ROOM_29716","APPL_109130","Powerpure","Unknown","Unknown","No","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bathroom"
"SITE_133","ROOM_19821","APPL_174763","Friedrich","D70BPA","Unknown","Yes","No","70","Measured or Known","Unknown",NA,"7.5","Unknown","Bedroom"
"SITE_1343","ROOM_18549","APPL_133973","LG","LD651EBL","Unknown","Yes","Yes","65","Unknown","Unknown",NA,"Unknown",NA,"Family Room"
"SITE_1343","ROOM_39607","APPL_167951","Delonghi","Unknown","Unknown","Yes","Yes","50","Unknown","Unknown",NA,"Unknown",NA,"Garage"
"SITE_1558","ROOM_36475","APPL_104028","Danby","DDR050BJPWDB","2020","Unknown","No","50","Measured or Known","Unknown",NA,"Unknown",NA,"Basement"
"SITE_1625","ROOM_14493","APPL_59159","Frigidaire","FFAD5000T1","Unknown","Yes","No","50","Measured or Known","Unknown",NA,"Unknown",NA,"Basement"
"SITE_17","ROOM_8959","APPL_19525","General Electric","ADEL50LWL1","2017","No","No","50","Measured or Known","Unknown",NA,"5.2","Unknown","Basement"
"SITE_1741","ROOM_20738","APPL_7106","Blue","#689122007359","Unknown","No","Yes","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_1746","ROOM_34273","APPL_93221","Home","HME020279N","2021","Yes","No","50","Measured or Known","Unknown",NA,"Unknown",NA,"Basement"
"SITE_1751","ROOM_5027","APPL_141008","Home","#000280","2018","Yes","Yes","50","Measured or Known","Unknown",NA,"4.7","Unknown","Basement"
"SITE_1813","ROOM_17536","APPL_78938","Ozeri","OZF1","Unknown","No","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_201","ROOM_9734","APPL_96227","Hisense","#DH-35K1SJE5","2013","No","No","35","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_2028","ROOM_8913","APPL_79081","Kenmore","Unknown","Unknown","Yes","No","50","Unknown","Unknown",NA,"Unknown",NA,"Basement"
"SITE_22","ROOM_42784","APPL_2127","Kenmore","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_240","ROOM_547","APPL_10345","Kenmore","405 54530410","2014","Yes","No","30","Measured or Known","Unknown",NA,"3","Unknown","Mechanical"
"SITE_270","ROOM_8866","APPL_55666","Tosot","GDN30AZ-A3EBA2C","2019","Yes","No","30","Unknown","Unknown",NA,"3.4","Unknown","Family Room"
"SITE_279","ROOM_22187","APPL_29787","Friedrich","D25BNP","Unknown","Yes","No","25","Measured or Known","Unknown",NA,"2.2","Measured or Known","Office"
"SITE_30","ROOM_43668","APPL_44324","Seavon","Unknown","Unknown","No","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_319","ROOM_16018","APPL_70088","General Electric","ADEL70LRL2","2014","Yes","No","70","Measured or Known","Unknown",NA,"Unknown",NA,"Living Room"
"SITE_327","ROOM_27557","APPL_141746","Frigidaire","FAD504DWD18","Unknown","No","Yes","50","Measured or Known","Unknown",NA,"Unknown",NA,"Basement"
"SITE_330","ROOM_3061","APPL_13431","Frigidaire","FFAD7000T1","2017","No","No","70","Measured or Known","Unknown",NA,"6.5","Unknown","Living Room"
"SITE_348","ROOM_38856","APPL_146350","Frigidaire","FAD704DUD","Unknown","Yes","No","70","Measured or Known","765","Measured or Known","7.2","Measured or Known","Living Room"
"SITE_371","ROOM_27812","APPL_16206","Danby","DDR030BLWDB","Unknown","No","No","10","Measured or Known","Unknown",NA,"Unknown",NA,"Closet"
"SITE_391","ROOM_20872","APPL_108825","Vremi","VRM010637","2018","Yes","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Hallway"
"SITE_457","ROOM_15404","APPL_27540","Waykar8","PD2538","Unknown","Unknown","No","70","Measured or Known","445","Measured or Known","4","Unknown","Basement"
"SITE_532","ROOM_38009","APPL_152619","Hisense","DH7019K1G","2019","Yes","No","50","Unknown","Unknown",NA,"7.8","Unknown","Family Room"
"SITE_551","ROOM_40530","APPL_104587","Home","HME020006N","2006","Yes","No","35.02","Measured or Known","Unknown",NA,"Unknown",NA,"Crawlspace"
"SITE_556","ROOM_1338","APPL_152256","Filtrete","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Attic"
"SITE_556","ROOM_34318","APPL_165974","Danby","DDR30B3WP","Unknown","Yes","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Laundry"
"SITE_606","ROOM_26741","APPL_21853","Kenmore","Unknown","Unknown","Yes","No","50","Measured or Known","Unknown",NA,"Unknown",NA,"Living Room"
"SITE_630","ROOM_14304","APPL_33139","Revive","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Living Room"
"SITE_670","ROOM_1980","APPL_97000","Probreeze","PB-03-US","Unknown","No","No","3.17","Unknown","40","Measured or Known","Unknown",NA,"Bathroom"
"SITE_726","ROOM_5146","APPL_77889","Eva-Dry","EDV-4000","Unknown","No","No","Unknown","Unknown","615","Unknown","Unknown",NA,"Other"
"SITE_727","ROOM_21953","APPL_153604","General Electric","ADEL50LRL1","Unknown","Yes","No","50","Unknown","Unknown",NA,"5.2","Measured or Known","Basement"
"SITE_74","ROOM_24551","APPL_51154","Frigidaire","Unknown","Unknown","Yes","No","25","Measured or Known","Unknown",NA,"Unknown",NA,"Living Room"
"SITE_814","ROOM_7278","APPL_113709","Whirlpool","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_819","ROOM_31653","APPL_67537","Vicks","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_82","ROOM_21161","APPL_131284","Electrolux","FFAD7033R1E","2018","Unknown","No","70","Measured or Known","Unknown",NA,"7.3","Unknown","Bedroom"
"SITE_887","ROOM_3207","APPL_22284","Intertek/Upper Echelon Products","EC-H","2020","No","No","4","Unknown","25","Measured or Known","Unknown",NA,"Bedroom"
"SITE_943","ROOM_4755","APPL_102748","Unknown","Unknown","Unknown","Yes","Yes","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Office"
"SITE_950","ROOM_37116","APPL_94485","Home","Unknown","Unknown","Yes","No","35.37","Unknown","Unknown",NA,"Unknown",NA,"Mechanical"
"SITE_956","ROOM_8120","APPL_152962","Perfect Aire","PA30","Unknown","Yes","No","30","Unknown","Unknown",NA,"Unknown",NA,"Basement"
"SITE_985","ROOM_45603","APPL_172356","Whirlpool","Unknown","Unknown","Yes","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Family Room"
"SITE_992","ROOM_35751","APPL_109447","Midea","MAD50PS1QWT","2021","Yes","Yes","49.58","Unknown","Unknown",NA,"Unknown",NA,"Other"
"SITE_3218","ROOM_2606","APPL_108638","Frigidaire","FFAD3033R1A0","Unknown","No","No","30","Unknown","Unknown",NA,"Unknown",NA,"Bathroom"
"SITE_3226","ROOM_8980","APPL_39081","General Electric","ADEL30LWQ1","Unknown","No","No","30","Measured or Known","Unknown",NA,"4.3","Measured or Known","Kitchen"
"SITE_3240","ROOM_17258","APPL_34146","Frigidaire","FFAD3033R1E","Unknown","No","No","30","Unknown","Unknown",NA,"3.4","Unknown","Bathroom"
"SITE_3249","ROOM_20215","APPL_10157","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_3254","ROOM_8736","APPL_53245","LG","Unknown","Unknown","No","No","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
"SITE_3303","ROOM_28796","APPL_131775","Whynter","ARC-14S","Unknown","Yes","No","Unknown","Measured or Known","Unknown",NA,"Unknown",NA,"Living Room"
"SITE_3376","ROOM_26725","APPL_137737","Levoit","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown",NA,"Unknown",NA,"Bedroom"
