"SiteID","Electric_Vehicle_Qty","Electric_Vehicle_Model","Electric_Vehicle_Type"
"SITE_1036","1","Nissan Leaf","EV"
"SITE_104","1","Tesla Model 3","EV"
"SITE_105","1","Fiat 500e","EV"
"SITE_1057","1","Toyota Prius Prime","PHEV"
"SITE_1073","1","Tesla Model 3","EV"
"SITE_1131","1","Toyota Rav4 Prime","PHEV"
"SITE_1159","1","Tesla Model Y","EV"
"SITE_1168","1","Chevrolet Volt","PHEV"
"SITE_1208","1","Toyota Prius Prime","PHEV"
"SITE_1230","1","Tesla Model Y","EV"
"SITE_124","1","Tesla Model S","EV"
"SITE_1267","1","Chevrolet Bolt","EV"
"SITE_1267","1","Tesla Model Y","EV"
"SITE_13","1","BMWi3 – Range Extender","PHEV"
"SITE_1342","1","Ford C-Max","PHEV"
"SITE_1352","1","Porsche Taycan","EV"
"SITE_1358","1","Toyota Prius Prime","PHEV"
"SITE_1378","1","Audi e-tron","EV"
"SITE_1408","2","Toyota Prius Prime","PHEV"
"SITE_147","1","Nissan Leaf","EV"
"SITE_147","1","Chevrolet Bolt","EV"
"SITE_150","1","Tesla Model S","EV"
"SITE_153","1","Chevrolet Volt","PHEV"
"SITE_1555","1","Tesla Model Y","EV"
"SITE_1579","1","Nissan Leaf","EV"
"SITE_1583","1","Chevrolet Volt","PHEV"
"SITE_1583","1","BMWi3","EV"
"SITE_1599","1","Chevrolet Volt","PHEV"
"SITE_1599","1","Chevrolet Bolt","EV"
"SITE_1632","1","Toyota Prius Prime","PHEV"
"SITE_1637","1","Mini Cooper SE","EV"
"SITE_1646","1","Jeep Wrangler 4xe","PHEV"
"SITE_1738","1","Hyandai Ioniq 5",NA
"SITE_1759","1","Kia Nero","EV"
"SITE_1760","1","Nissan Leaf","EV"
"SITE_1802","1","Ford C Max","PHEV"
"SITE_188","1","Chevrolet Bolt","EV"
"SITE_1905","1","2002 Rav 4","EV"
"SITE_1905","1","2004 Rav 4","EV"
"SITE_1916","1","Ford C-Max","PHEV"
"SITE_192","1","Tesla Model X","EV"
"SITE_2007","1","Tesla Model 3","EV"
"SITE_2011","1","Rav4 Prime","PHEV"
"SITE_2015","1","Tesla Model Y","EV"
"SITE_2017","1","Ford Mustang Mach-E","EV"
"SITE_2022","1","Toyota Prius Prime","PHEV"
"SITE_2031","1","Nissan Leaf","EV"
"SITE_2033","1","Chevrolet Volt","PHEV"
"SITE_2035","1","Tesla Model Y","EV"
"SITE_2036","1","Hindi Ionic 5",NA
"SITE_2037","1","Jeep Wrangler","PHEV"
"SITE_2041","1","Tesla Model 3","EV"
"SITE_211","1","Tesla Model 3","EV"
"SITE_235","1","Chevrolet Volt","PHEV"
"SITE_282","1","Tesla Model Y","EV"
"SITE_288","1","Tesla Model 3","EV"
"SITE_294","1","Nissan Leaf","EV"
"SITE_30","1","Nissan Leaf","EV"
"SITE_311","1","Tesla Model S","EV"
"SITE_316","1","Tesla Model X","EV"
"SITE_316","1","Chevrolet Bolt","EV"
"SITE_321","1","Toyota Prius Prime","PHEV"
"SITE_339","1","Chevrolet Bolt","EV"
"SITE_350","1","Nissan Leaf","EV"
"SITE_358","1","Volvo (unknown model)","Unknown"
"SITE_36","1","Chevrolet Bolt","EV"
"SITE_381","1","Toyota Prius Prime","PHEV"
"SITE_41","1","Chevrolet Bolt","EV"
"SITE_410","1","Tesla Model S","EV"
"SITE_418","1","Chevrolet Volt","PHEV"
"SITE_431","1","Chevrolet Bolt","EV"
"SITE_439","1","Toyota Prius Prime","PHEV"
"SITE_442","1","Nissan Leaf","EV"
"SITE_473","1","Audi e-tron","EV"
"SITE_478","1","Ford Fusion Energi","PHEV"
"SITE_504","1","Chevrolet Bolt","EV"
"SITE_509","1","Nissan Leaf","EV"
"SITE_515","1","Chevrolet Volt","PHEV"
"SITE_558","1","Nissan Leaf","EV"
"SITE_567","1","Tesla Model Y","EV"
"SITE_586","1","Tesla Model Y","EV"
"SITE_587","1","Tesla Model 3","EV"
"SITE_59","1","Ford C-Max","PHEV"
"SITE_605","1","Tesla Model S","EV"
"SITE_611","2","Tesla Model S","EV"
"SITE_613","1","Chevrolet Spark","EV"
"SITE_632","1","Toyota Prius Prime","PHEV"
"SITE_637","1","Tesla Model 3","EV"
"SITE_649","1","Unknown","Unknown"
"SITE_663","1","Subaru Crosstrek PHEV","PHEV"
"SITE_67","1","Nissan Leaf","EV"
"SITE_677","1","Fiat 500e","EV"
"SITE_681","1","Chevrolet Bolt","EV"
"SITE_683","1","Tesla Model Y","EV"
"SITE_705","1","Kia EV6","EV"
"SITE_75","1","Honda Clarity","PHEV"
"SITE_77","2","Chevrolet Volt","PHEV"
"SITE_834","1","Fiat 500e","EV"
"SITE_84","1","Chevrolet Bolt","EV"
"SITE_84","1","Volkswagen e-Golf","EV"
"SITE_840","1","Chevrolet Volt","PHEV"
"SITE_880","1","Tesla Model 3","EV"
"SITE_89","1","Nissan Leaf","EV"
"SITE_899","1","Tesla Model 3","EV"
"SITE_904","1","Toyota Prius Prime","PHEV"
"SITE_911","1","Nissan Leaf","EV"
"SITE_94","1","Chevrolet Bolt","EV"
"SITE_947","1","Tesla Model 3","EV"
"SITE_97","1","Nissan Leaf","EV"
"SITE_3248","1","Ford C-Max","PHEV"
