"SiteID","Mechanical_ID","System_Type","Ventilation_Make","Ventilation_Model","Ventilation_Working","Ventilation_Controls","Ventilation_Use"
"SITE_1013","MECH_75654","Stand-alone ducts","Venmar","1601612","Yes","None","24"
"SITE_103","MECH_78590","Stand-alone ducts","Unknown","HEPA 3000","Yes","Manual thermostat - Analog","1"
"SITE_1060","MECH_25637","Stand-alone ducts","Bryant","Unknown","Yes","Manual thermostat - Analog","1"
"SITE_1066","MECH_73094","Stand-alone ducts","Venmar","45700","Yes","Timer","0.5"
"SITE_1106","MECH_109526","Attached to duct system","LifeBreath","RNC205","Yes","Programmable thermostat","3"
"SITE_1161","MECH_149587","Stand-alone ducts","Fantech","SHR150","Yes","Manual thermostat - Digital","16"
"SITE_1161","MECH_66748","Stand-alone ducts","Fantech","VHR70R ES","No","Manual thermostat - Digital","16"
"SITE_1172","MECH_2443","Stand-alone ducts","Aldes","H150-try","Yes","Programmable thermostat","12"
"SITE_1181","MECH_78905","Stand-alone ducts","Fantech","40077","Yes","Manual thermostat - Analog","24"
"SITE_1181","MECH_35284","Attached to duct system","Unknown","Unknown","Unknown","Unknown","Unknown"
"SITE_1210","MECH_10054","Stand-alone ducts","Broan","HRV160TE","Yes","On/off","24"
"SITE_1218","MECH_158215","Stand-alone ducts","Unknown","Unknown","Yes","Timer","0"
"SITE_1218","MECH_133762","Stand-alone ducts","Unknown","Unknown","Yes","Timer","0"
"SITE_1218","MECH_24436","Stand-alone ducts","VanEE","Unknown","Yes","Manual thermostat - Analog","1"
"SITE_1218","MECH_151513","Stand-alone ducts","Unknown","Unknown","Yes","Timer","0"
"SITE_1310","MECH_52253","Stand-alone ducts","Honeywell","VNT5150H 1000","Yes","Manual thermostat - Analog","24"
"SITE_1423","MECH_9999","Stand-alone ducts","LifeBreath","200MAX","Yes","Programmable thermostat","4"
"SITE_1539","MECH_13837","Stand-alone ducts","Aldes","E190 TRG","Yes","Programmable thermostat","6"
"SITE_1816","MECH_169918","Stand-alone ducts","LifeBreath","100ECM","Yes","On/off","24"
"SITE_1834","MECH_4495","Attached to duct system","Lennox","HRV-200 WOL REV -02","Yes","Manual thermostat - Analog","Unknown"
"SITE_1876","MECH_100834","Attached to duct system","Fantech","Shr150","Yes","Manual thermostat - Digital","24"
"SITE_1934","MECH_2655","Stand-alone ducts","Aldes","E150-tr","Yes","Manual thermostat - Analog","0"
"SITE_198","MECH_101051","Attached to duct system","AirKing","Unknown","Yes","On/off","1"
"SITE_1981","MECH_27058","Stand-alone ducts","Honeywell","Hr200b1005","Yes","Manual thermostat - Analog","0"
"SITE_1981","MECH_91008","Stand-alone ducts","Honeywell","HR150B1005","Yes","Manual thermostat - Analog","0"
"SITE_1997","MECH_158629","Attached to duct system","LifeBreath","200MAX","Yes","On/off","24"
"SITE_316","MECH_71809","Attached to duct system","LifeBreath","267MAX","Yes","Programmable thermostat","24"
"SITE_381","MECH_131482","Attached to duct system","Unknown","Unknown","Yes","Programmable thermostat","24"
"SITE_392","MECH_131121","Stand-alone ducts","Unknown","Unknown","Yes","Unknown","Unknown"
"SITE_446","MECH_128481","Stand-alone ducts","RenewAire","EV200","No","Timer","3"
"SITE_546","MECH_8411","Stand-alone ducts","Zehnder","ComfoAir 200","Yes","Programmable thermostat","24"
"SITE_585","MECH_159825","Unknown","Carrier","HRVCCLVU1330","Yes","Unknown","Unknown"
"SITE_747","MECH_106438","Stand-alone ducts","RenewAire","Unknown","Yes","Manual thermostat - Digital","0"
"SITE_748","MECH_63682","Attached to duct system","LifeBreath","200ERV","Yes","Programmable thermostat","0"
"SITE_766","MECH_149613","Stand-alone ducts","Zehnder","ComfoAirQ","Yes","On/off","24"
"SITE_801","MECH_44333","Stand-alone ducts","Broan","Unknown","Yes","Manual thermostat - Digital","24"
"SITE_828","MECH_66790","Attached to duct system","LifeBreath","60DHW","Yes","Programmable thermostat","Unknown"
"SITE_9","MECH_96636","Stand-alone ducts","Mitsubishi","lossney vl-500b2","Yes","On/off","24"
"SITE_923","MECH_27004","Attached to duct system","Honeywell","Unknown","Yes","Timer","12"
"SITE_923","MECH_156067","Attached to duct system","Unknown","Unknown","Yes","None","Unknown"
"SITE_941","MECH_119203","Unknown","Broan","Unknown","Yes","Programmable thermostat","8"
