"SiteID","Mechanical_ID","Ventilation_Controls","Ventilation_Use"
"SITE_1001","MECH_52093","Smart/Wi-Fi thermostat","Unknown"
"SITE_1019","MECH_43847","None","Unknown"
"SITE_1084","MECH_116687","Timer","7"
"SITE_11","MECH_99987","Smart/Wi-Fi thermostat","Unknown"
"SITE_1133","MECH_2692","On/off","Unknown"
"SITE_1219","MECH_23763","Timer","3"
"SITE_125","MECH_156807","On/off","7"
"SITE_1259","MECH_122297","On/off","Unknown"
"SITE_1343","MECH_104544","Timer","Unknown"
"SITE_1345","MECH_77792","Timer","0"
"SITE_1358","MECH_90697","Timer","1"
"SITE_1359","MECH_138945","On/off","5"
"SITE_1375","MECH_145159","On/off","0"
"SITE_1411","MECH_26375","On/off","0"
"SITE_1413","MECH_16265","Timer","7"
"SITE_1442","MECH_72129","On/off","1"
"SITE_1462","MECH_90758","None","Unknown"
"SITE_1487","MECH_168467","Timer","7"
"SITE_153","MECH_122986","On/off","7"
"SITE_1536","MECH_113520","On/off","1"
"SITE_1606","MECH_14581","On/off","7"
"SITE_1755","MECH_104397","On/off","2"
"SITE_1782","MECH_107956","Manual thermostat - Analog","Unknown"
"SITE_1811","MECH_15613","Timer","1"
"SITE_1839","MECH_106329","On/off","Unknown"
"SITE_1851","MECH_165455","On/off","7"
"SITE_1879","MECH_120622","On/off","Unknown"
"SITE_194","MECH_129207","On/off","4"
"SITE_1949","MECH_140213","On/off","1"
"SITE_199","MECH_147472","Timer","7"
"SITE_2026","MECH_52399","On/off","3"
"SITE_299","MECH_167515","Timer","1"
"SITE_299","MECH_165461","Timer","Unknown"
"SITE_354","MECH_167608","On/off","4"
"SITE_357","MECH_46719","On/off","0"
"SITE_369","MECH_69459","Timer","0"
"SITE_394","MECH_97936","On/off","0"
"SITE_395","MECH_43708","On/off","Unknown"
"SITE_418","MECH_32463","Timer","7"
"SITE_454","MECH_120029","Timer","7"
"SITE_492","MECH_170270","Timer","Unknown"
"SITE_529","MECH_10947","Timer","0"
"SITE_562","MECH_66952","Timer","Unknown"
"SITE_588","MECH_115682","On/off","0"
"SITE_646","MECH_58348","Timer","7"
"SITE_655","MECH_106099","Timer","0"
"SITE_680","MECH_160869","On/off","7"
"SITE_7","MECH_45634","Smart/Wi-Fi thermostat","7"
"SITE_738","MECH_42738","Timer","0"
"SITE_756","MECH_60179","Timer","0"
"SITE_756","MECH_154488","On/off","0"
"SITE_761","MECH_9585","Timer","7"
"SITE_778","MECH_141769","Manual thermostat - Analog","1"
"SITE_781","MECH_1045","On/off","1"
"SITE_787","MECH_167930","Timer","0"
"SITE_798","MECH_101150","On/off","0"
"SITE_798","MECH_101150","On/off","0"
"SITE_8","MECH_113721","Timer","4"
"SITE_847","MECH_163066","On/off","1"
"SITE_864","MECH_93160","Timer","0"
"SITE_886","MECH_81617","On/off","7"
"SITE_904","MECH_112276","Timer","3"
"SITE_923","MECH_27004","Timer","Unknown"
"SITE_972","MECH_155754","On/off","Unknown"
"SITE_3223","MECH_88281","On/off","7"
